"id","identificador","ubicacion","latitud","longitud","municipio_id","provincia_id","id_departamento","municipio","provincia","departamento"
"1094","SGO085-01","","-29.502735","-63.693676","SGO085","AR-G","1639","Villa Ojo de Agua","Santiago del Estero","Ojo de Agua"
"1353","CAT012-01","PD Los Ángeles","0.000000","0.000000","CAT012","AR-K","1334","Huillapima","Catamarca","Capayan"
"730","SAL040-01","Payogasta","-24.934694","-66.164500","SAL040","AR-A","1663","Payogasta","Salta","Cachi"
"962","SCR018-01","Centro de Informacion Turistica","-49.333638","-72.882993","SCR018","AR-Z","1609","El Chaltén","Santa Cruz","Lago Argentino"
"1295","SCR018-02","","0.000000","0.000000","SCR018","AR-Z","1609","El Chaltén","Santa Cruz","Lago Argentino"
"1043","SFE199-01","","0.000000","0.000000","SFE199","AR-S","1695","Los Laureles","Santa Fe","General Obligado"
"561","CBA301-01","","0.000000","0.000000","CBA301","AR-X","1398","Rincón","Córdoba","Rio Segundo"
"1203","SFE260-01","","0.000000","0.000000","SFE260","AR-S","1687","Ricardone","Santa Fe","San Lorenzo"
"703","CHU011-01","Comuna","-42.000000","-71.000000","CHU011","AR-U","1372","Cushamen","Chubut","Cushamen"
"1059","BUE042-01","","0.000000","0.000000","BUE042","AR-B","1236","General Alvarado","Buenos Aires","General Alvarado"
"803","LAP034-01","","-35.234511","-63.591283","LAP034","AR-L","1483","Intendente Alvear","La Pampa","Chapaleufu"
"804","LAP034-02","","0.000000","0.000000","LAP034","AR-L","1483","Intendente Alvear","La Pampa","Chapaleufu"
"1283","CBA095-01","","0.000000","0.000000","CBA095","AR-X","1387","Colonia Vignaud","Córdoba","San Justo"
"708","MZA015-01","Rama Caida","-34.666056","-68.388778","MZA015","AR-M","1529","San Rafael","Mendoza","San Rafael"
"1276","SFE038-01","","0.000000","0.000000","SFE038","AR-S","1688","Cacique Ariacaiquín","Santa Fe","San Javier"
"1093","SFE243-01","","-31.211944","-61.613889","SFE243","AR-S","1689","Presidente Roca","Santa Fe","Castellanos"
